match_no,city,date_of_match,venue,Home_team,Away_team,toss_winner,winner,man_of_the_match,result,result_margin,eliminator,umpire1,umpire2,,Home_team_run,Home_team_wickets,Home_team_over,Away_team_run,Away_team_wickets,Away_team_over
19,Kolkata,4/14/2023,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Harry Brook,Runs,23,N,Chris Gaffaney,Sadashiv Iyer,,205,7,20,228,4,20
20,Bengaluru,4/15/2023,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Royal Challengers Bangalore,Virat Kohli,Runs,23,N,KN Anantha Padmanabhan,Sai Darshan Kumar,,174,6,20,151,9,20
21,Lucknow ,4/15/2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Punjab Kings,Punjab Kings,Punjab Kings,Sikandar Raza,Wickets,2,N,Saiyed Khalid,Virender Sharma,,159,8,20,161,8,19.3
22,Mumbai ,4/16/2023,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Venkatesh Iyer,Wickets,5,N,Bruce Oxenford,Ulhas Gandhe,,186,5,17.4,185,6,20
23,Ahmedabad,4/16/2023,Narendra Modi Stadium,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Shimron Hetmyer,Wickets,3,N,Anil Kumar Chaudhary,Chris Gaffaney,,177,7,20,179,7,19.2
24,Bengaluru,4/17/2023,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Devon Conway,Runs,8,N,KN Anantha Padmanabhan,Navdeep Singh,,218,8,20,226,6,20
25,Hyderabad,4/18/2023,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Cameron Green,Runs,14,N,Nitin Menon,Vinod Seshan,,178,10,19.5,192,5,20
26,Jaipur,4/19/2023,Sawai Mansingh Stadium,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,Marcus Stoinis,Runs,10,N,Jayaraman Madanagopal,Yeshwant Barde,,144,6,20,154,7,20
27,Mohali,4/20/2023,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,Mohammed Siraj,Runs,24,N,Anil Kumar Chaudhary,Sadashiv Iyer,,150,10,18.2,174,4,20
28,Delhi,4/20/2023, Arun Jaitley Stadiumi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Ishant Sharma,Wickets,4,N,Rohan Pandit,Michael Gough,,128,6,19.2,127,10,20
29,Chennai,4/21/2023,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Ravindra Jadeja,Wickets,7,N,Virender Sharma,Saiyed Khalid,,138,3,18.4,134,7,20
30,Lucknow ,4/22/2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,Gujarat Titans,Mohit Sharma,Runs,7,N,Akshay Totre,Rod Tucker,,128,7,20,135,6,20
31,Mumbai ,4/22/2023,Wankhede Stadium,Mumbai Indians,Punjab Kings,Mumbai Indians,Punjab Kings,Sam Curran,Runs,13,N,Chris Gaffaney,Sadashiv Iyer,,201,6,20,214,8,20
32,Bengaluru,4/23/2023,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,Glenn Maxwell,Runs,7,N,Michael Gough,Sai Darshan Kumar,,189,9,20,182,6,20
33,Kolkata,4/23/2023,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Ajinkya Rahane,Runs,49,N,Tapan Sharma,Nitin Menon,,186,8,20,235,4,20
34,Hyderabad,4/24/2023,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Delhi Capitals,Axar Patel,Runs,7,N,Rod Tucker,Jayaraman Madanagopal,,137,6,20,144,9,20
35,Ahmedabad,4/25/2023,Narendra Modi Stadium,Gujarat Titans,Mumbai Indians,Mumbai Indians,Gujarat Titans,Abhinav Manohar,Runs,55,N,Anil Chaudhary,Nand Kishore,,207,6,20,152,9,20
36,Bengaluru,4/26/2023,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Varun Chakaravarthy,Runs,21,N,KN Anantha Padmanabhan,Rohan Pandit,,179,8,20,200,5,20
37,Jaipur,4/27/2023,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Yashasvi Jaiswal,Runs,32,N,Yeshwant Barde,Akshay Totre,,202,5,20,170,6,20
38,Mohali,4/28/2023,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,Marcus Stoinis,Runs,56,N,Nitin Menon,Vinod Seshan,,201,10,19.5,257,5,20
39,Kolkata,4/29/2023,Eden Gardens,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,Gujarat Titans,Joshua Little,Wickets,7,N,Chris Gaffaney,Nikhil Patwardhan,,179,7,20,180,3,17.5
40,Delhi,4/29/2023,Arun Jaitley Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Mitchell Marsh,Runs,9,N,Michael Gough,Navdeep Singh,,188,6,20,197,6,20
41,Chennai,4/30/2023,MA Chidambaram Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Punjab Kings,Devon Conway,Wickets,4,N,Rod Tucker,Ulhas Gandhe,,200,4,20,201,6,20
42,Mumbai ,4/30/2023,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Yashasvi Jaiswal,Wickets,6,N,Virender Sharma,Vinod Seshan,,214,4,19.3,212,7,20
